names,amplitude,latency,type,rx_time,correct,group
C001,-0.0266,1.786,easy,2.7001,0.0,C
C001,0.2559,1.8476,easy,2.5001,0.0,C
C001,0.1477,1.8303,easy,1.9168,1.0,C
C001,0.3101,2.2501,hard,6.2002,0.0,C
C001,0.1242,2.8531,hard,4.3168,1.0,C
C001,0.4264,2.2325,easy,2.1834,1.0,C
C001,0.171,1.3851,easy,1.9334,0.0,C
C001,0.1987,2.2851,hard,3.7668,1.0,C
C001,0.1942,0.4891,hard,6.767,1.0,C
C001,0.6519,2.1953,hard,3.9001,0.0,C
C001,0.3152,4.8026,hard,5.7669,0.0,C
C001,0.1542,1.8479,easy,3.75,0.0,C
C001,0.0622,1.8861,hard,6.6003,0.0,C
C001,0.0916,4.3824,hard,5.7669,0.0,C
C001,0.0599,1.6571,easy,1.2833,1.0,C
C001,0.5442,0.1116,hard,5.7336,0.0,C
C001,0.0865,3.1826,hard,4.1668,0.0,C
C001,0.1469,1.8426,easy,1.8667,0.0,C
C001,0.0682,2.7926,easy,2.7667,0.0,C
C001,0.1068,0.4041,easy,1.3334,1.0,C
C001,0.1216,1.9995,easy,1.9334,0.0,C
C002,0.0019,1.5479,easy,1.5334,1.0,C
C002,0.0007,1.8862,easy,2.0001,0.0,C
C002,0.0005,1.1318,easy,1.3001,1.0,C
C002,0.0003,0.6502,easy,1.6334,1.0,C
C002,0.0036,1.8173,easy,2.8335,0.0,C
C002,0.0033,1.3741,easy,2.2668,0.0,C
C002,0.0031,3.6927,hard,4.0335,0.0,C
C002,0.0053,3.9854,hard,4.0335,1.0,C
C002,0.0022,3.0549,easy,5.4835,1.0,C
C002,0.0025,1.0398,easy,1.7834,1.0,C
C002,0.0013,0.6729,easy,1.5501,1.0,C
C002,0.0036,0.1863,easy,2.9501,1.0,C
C002,0.0027,0.2392,easy,2.9834,1.0,C
C002,0.0042,1.2053,easy,2.0501,1.0,C
C002,0.0013,0.0776,easy,1.4167,1.0,C
C002,0.0025,0.8671,easy,1.6501,1.0,C
C002,0.0008,3.0174,hard,4.5835,1.0,C
C002,0.0025,6.046,hard,3.3168,0.0,C
C002,0.0022,0.0269,easy,1.7667,1.0,C
C002,0.0015,0.8005,easy,1.2334,1.0,C
C002,0.0015,0.9994,easy,1.5167,0.0,C
C002,0.0031,2.9927,easy,3.1168,1.0,C
C002,0.0022,1.7741,easy,1.6,1.0,C
C002,0.0008,0.1606,easy,1.3167,1.0,C
C002,0.0027,0.8438,easy,3.0168,1.0,C
C002,0.001,3.0281,hard,4.9502,1.0,C
C002,0.0027,2.521,hard,6.9501,0.0,C
C002,0.0012,0.8779,hard,3.1001,0.0,C
C002,0.0015,1.7128,hard,4.0835,1.0,C
C002,0.0016,0.7823,easy,2.4667,1.0,C
C002,0.0011,0.2567,easy,1.5666,1.0,C
C002,0.0024,1.7397,easy,2.3501,1.0,C
C002,0.0014,1.6361,easy,1.3167,1.0,C
C002,0.0012,1.1221,easy,1.3501,1.0,C
C002,0.0027,1.0097,hard,5.7002,0.0,C
C002,0.001,11.1613,hard,4.4001,0.0,C
C002,0.0013,1.0422,easy,1.4834,1.0,C
C002,0.0004,0.7989,easy,1.2167,1.0,C
C002,0.001,3.2534,easy,2.7333,1.0,C
C002,0.0015,0.8751,easy,1.2501,1.0,C
C002,0.0012,0.3371,easy,1.2001,1.0,C
C002,0.001,0.0033,easy,1.3834,1.0,C
C002,0.0011,2.1266,easy,1.8834,1.0,C
C002,0.001,1.7075,easy,2.0168,1.0,C
C002,0.0011,0.7668,easy,1.5334,1.0,C
C002,0.001,0.3007,easy,1.4668,1.0,C
C002,0.0011,0.5015,hard,3.2668,0.0,C
C002,0.0009,1.7078,hard,2.1501,1.0,C
C002,0.002,1.7355,easy,3.0501,1.0,C
C002,0.0012,0.4633,easy,2.9168,0.0,C
C002,0.0008,1.8491,easy,1.9834,0.0,C
C002,0.0019,7.0232,easy,6.5669,0.0,C
C002,0.0004,2.3261,easy,3.2002,1.0,C
C002,0.001,0.9441,easy,2.4668,1.0,C
C002,0.001,0.5277,easy,3.5335,1.0,C
C002,0.0039,7.0173,easy,8.2336,0.0,C
C002,0.008,2.0393,hard,2.9334,0.0,C
C002,0.001,5.0483,hard,4.5666,0.0,C
C002,0.0013,5.9083,hard,5.4669,0.0,C
C002,0.0015,4.9391,hard,6.7169,0.0,C
C002,0.0016,1.0169,easy,2.1334,0.0,C
C002,0.0011,2.4302,easy,2.5501,1.0,C
C002,0.0007,2.0609,easy,2.0001,1.0,C
C002,0.002,0.1795,easy,2.8668,0.0,C
C002,0.0022,1.8334,easy,1.4001,1.0,C
C003,0.1701,2.64,easy,3.7001,1.0,C
C003,0.2627,0.382,hard,4.9335,0.0,C
C003,0.1905,4.9287,easy,7.0669,1.0,C
C003,0.1244,3.7295,hard,4.6335,0.0,C
C003,0.2278,0.2154,easy,3.7499,1.0,C
C003,0.1587,5.9455,hard,5.2836,0.0,C
C003,0.0586,0.8067,hard,3.7501,1.0,C
C003,0.2611,3.1114,easy,3.1002,0.0,C
C003,0.0837,10.716,hard,6.7003,1.0,C
C003,0.3234,0.8945,easy,5.7002,1.0,C
C003,0.0291,3.0107,easy,3.6499,0.0,C
C003,0.1651,3.273,easy,2.9834,0.0,C
C003,0.1899,0.1768,easy,2.7334,0.0,C
C003,0.1111,9.9454,hard,5.4668,0.0,C
C003,0.2735,1.0125,easy,2.4001,1.0,C
C003,0.2767,8.2932,hard,6.1002,0.0,C
C003,0.6223,0.0305,easy,2.5334,1.0,C
C003,-0.0037,0.3875,easy,2.6831,1.0,C
C004,0.1852,2.2397,easy,1.9667,1.0,C
C004,0.1257,2.3356,easy,2.1835,1.0,C
C004,0.2302,3.6894,hard,3.2332,1.0,C
C004,0.0674,3.0391,hard,5.7335,1.0,C
C004,0.1413,0.1093,easy,2.2667,1.0,C
C004,0.2391,0.3729,hard,3.5168,1.0,C
C004,0.1173,0.4013,hard,4.5835,1.0,C
C004,0.1128,0.204,easy,1.8667,1.0,C
C004,0.1012,1.6776,hard,4.9669,0.0,C
C004,0.4484,1.6074,hard,5.6669,0.0,C
C004,0.1062,0.4561,easy,1.1334,1.0,C
C004,0.1935,0.6612,easy,1.2501,1.0,C
C004,0.0779,0.436,hard,6.8169,0.0,C
C004,0.1064,0.3465,easy,1.3667,1.0,C
C004,0.0598,0.4325,easy,2.2501,1.0,C
C004,0.1033,0.7503,easy,2.2667,0.0,C
C004,0.0409,0.4631,easy,2.6668,1.0,C
C004,0.2138,0.6121,hard,4.5666,0.0,C
C004,0.0857,1.5168,easy,1.3498,1.0,C
C004,0.0579,6.1551,hard,5.6667,1.0,C
C004,0.0518,0.4049,hard,4.5332,1.0,C
C004,0.1087,0.2692,hard,4.8002,0.0,C
C004,0.0592,0.0058,easy,1.5667,1.0,C
C004,0.0658,1.2674,easy,0.9501,0.0,C
C006,0.0344,4.836,easy,6.8836,1.0,C
C006,-0.0575,6.4045,easy,7.017,1.0,C
C006,0.1196,0.1411,easy,2.4001,1.0,C
C006,0.0469,3.3252,easy,3.0001,1.0,C
C006,0.0621,3.2689,hard,4.9335,1.0,C
C006,0.1187,0.031,easy,3.0835,1.0,C
C006,0.0781,3.1871,hard,5.0002,1.0,C
C006,0.0118,1.099,easy,1.6167,1.0,C
C006,0.0453,1.6926,hard,4.1501,1.0,C
C006,0.014,2.7599,easy,2.8335,1.0,C
C006,0.0222,17.1464,easy,17.5839,1.0,C
C006,0.1204,10.0437,easy,9.6837,1.0,C
C007,0.1218,0.8285,easy,2.4002,1.0,C
C007,0.0561,0.3816,easy,1.8167,1.0,C
C007,-0.0322,2.7128,easy,2.1834,1.0,C
C007,0.0251,2.5958,hard,6.6836,1.0,C
C007,0.125,0.0064,easy,3.1834,0.0,C
C007,0.0206,1.9611,easy,1.8501,1.0,C
C007,0.04,0.6615,easy,2.6001,1.0,C
C007,0.0277,1.714,easy,1.5834,1.0,C
C007,0.1424,4.5635,hard,6.2669,1.0,C
C007,0.0756,4.0997,hard,5.1002,1.0,C
C007,0.0486,4.8375,easy,4.3002,1.0,C
C007,0.0463,2.4856,easy,2.1501,1.0,C
C007,0.0194,2.9022,hard,6.5336,0.0,C
C007,0.0533,2.4476,easy,2.4668,1.0,C
C007,0.0369,3.7131,easy,3.3668,1.0,C
C007,0.0631,3.3324,hard,4.3835,1.0,C
C007,0.0469,0.8954,easy,3.8002,1.0,C
C007,0.0686,1.4606,easy,2.2498,1.0,C
C007,0.0483,2.0286,easy,1.6501,1.0,C
C007,0.0797,0.632,hard,6.2167,0.0,C
C007,0.0804,2.3765,easy,3.8002,1.0,C
C007,0.0271,1.2549,easy,1.4001,1.0,C
C007,0.0559,4.2494,hard,5.2169,1.0,C
C007,0.0512,3.7098,hard,5.1669,0.0,C
C007,0.0321,0.6814,easy,1.3168,1.0,C
C007,0.0193,0.6271,easy,2.2835,0.0,C
C008,0.12,0.4029,easy,6.8336,1.0,C
C008,0.014,3.2713,easy,4.2168,0.0,C
C008,0.0315,0.6726,easy,3.2502,1.0,C
