names,amplitude,latency,type,group
C001,0.988,17.8184,CountVolumes,C
C001,0.1735,7.6432,Answer,C
C001,0.8073,15.1183,CountHeartBeats,C
C001,0.3075,7.3777,Answer,C
C001,0.4791,6.9604,CountVolumes,C
C001,0.0827,2.6229,Answer,C
C001,0.4398,6.8344,CountHeartBeats,C
C001,0.4448,11.2378,CountVolumes,C
C001,0.5201,10.7426,CountHeartBeats,C
C001,0.1678,14.8689,CountVolumes,C
C001,0.3116,15.7545,CountHeartBeats,C
C001,0.0914,0.2536,Answer,C
C001,0.6159,10.8454,CountVolumes,C
C001,0.4301,10.8387,CountHeartBeats,C
C001,0.1208,6.3531,Answer,C
C001,0.3755,6.9943,CountVolumes,C
C001,0.1251,7.7017,Answer,C
C001,0.721,16.0483,CountHeartBeats,C
C001,0.3185,7.1449,Answer,C
C002,0.0705,19.5589,CountVolumes,C
C002,0.3742,12.4553,Answer,C
C002,0.0249,2.3399,CountVolumes,C
C003,0.6135,19.5892,CountVolumes,C
C003,0.3274,12.4544,Answer,C
C003,0.5894,19.2064,CountHeartBeats,C
C003,0.2359,12.3808,Answer,C
C003,0.2307,16.984,CountVolumes,C
C003,0.2291,12.1372,Answer,C
C003,0.5819,15.1302,CountHeartBeats,C
C003,0.2457,12.2949,Answer,C
C003,0.5534,12.8523,CountVolumes,C
C003,0.2927,12.1073,Answer,C
C003,0.6852,11.9268,CountHeartBeats,C
C003,0.3779,5.5759,Answer,C
C003,0.5261,19.3411,CountVolumes,C
C003,0.3256,12.3312,Answer,C
C003,0.5785,19.4881,CountHeartBeats,C
C003,0.4059,12.057,Answer,C
C003,0.2806,15.6631,CountVolumes,C
C003,0.3086,0.8041,Answer,C
C003,0.4631,15.6365,CountHeartBeats,C
C003,0.1868,6.5656,Answer,C
C003,0.4872,11.3073,CountVolumes,C
C003,0.2129,12.1417,Answer,C
C003,0.5239,11.3961,CountHeartBeats,C
C003,0.4337,13.1322,Answer,C
C004,0.0545,22.8906,CountVolumes,C
C004,0.0558,3.5119,Answer,C
C004,0.1199,22.4882,CountHeartBeats,C
C004,0.0773,18.0291,CountVolumes,C
C004,0.0778,14.7182,Answer,C
C004,0.1099,17.8996,CountHeartBeats,C
C004,0.1896,14.0118,CountVolumes,C
C004,0.073,11.3823,Answer,C
C004,0.2049,13.7687,CountHeartBeats,C
C004,0.0377,17.9875,Answer,C
C004,0.5419,8.075,CountVolumes,C
C004,0.0952,5.6587,Answer,C
C004,0.1175,14.1792,CountHeartBeats,C
C004,0.0713,17.8056,CountVolumes,C
C004,0.0374,8.9961,Answer,C
C004,0.0796,1.9986,CountHeartBeats,C
C004,0.0854,9.9722,CountVolumes,C
C004,0.0672,7.7848,Answer,C
C004,0.0801,16.0551,CountHeartBeats,C
C004,0.1538,14.2557,Answer,C
C006,0.0679,17.8649,Answer,C
